name,slug,full_name,type,publisher,description,source,popularity,star_count,pull_count,filter_type,certification_status,categories,operating_systems,architectures,logo_url,created_at,updated_at
Networkmonitor,microsoft-containernetworking-networkmonitor,Microsoft/microsoft-containernetworking-networkmonitor,image,Microsoft,Azure CNI Network Monitor,publisher,18756931,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-12-03 00:28:11.316268+00:00,2022-04-13 02:28:54.924979+00:00
Azure Functions Node,microsoft-azure-functions-node,Microsoft/microsoft-azure-functions-node,image,Microsoft,Azure Functions node image,publisher,17765517,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2018-12-06 17:47:08.005400+00:00,2022-04-13 02:28:52.836703+00:00
Azure Industrial IoT OPC Twin module,microsoft-iotedge-opc-twin,Microsoft/microsoft-iotedge-opc-twin,image,Microsoft,This image contains the Azure Industrial IoT OPC Twin Edge module.,publisher,16920325,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2018-12-06 17:42:40.928707+00:00,2022-04-13 02:28:56.279248+00:00
Azure Industrial IoT OPC Publisher module,microsoft-iotedge-opc-publisher,Microsoft/microsoft-iotedge-opc-publisher,image,Microsoft,This image contains the Azure Industrial IoT OPC Publisher IoT Edge module.,publisher,16299545,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2018-12-06 17:43:20.271630+00:00,2022-04-13 02:28:56.252411+00:00
Azure Industrial IoT discovery module,microsoft-iotedge-discovery,Microsoft/microsoft-iotedge-discovery,image,Microsoft,This image contains the Azure Industrial IoT Discovery Edge module.,publisher,15585879,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:04:41.087836+00:00,2022-04-13 02:28:56.308316+00:00
Service Fabric Reverse Proxy,microsoft-service-fabric-reverse-proxy,Microsoft/microsoft-service-fabric-reverse-proxy,image,Microsoft,Official image for running Reverse Proxy on Service Fabric.,publisher,12835789,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2019-03-22 18:24:44.258645+00:00,2022-04-13 02:28:58.631754+00:00
Azure Industrial Frontend microservice,microsoft-iot-industrial-iot-frontend,Microsoft/microsoft-iot-industrial-iot-frontend,image,Microsoft,This image contains the Azure Industrial IoT Fontend.,publisher,9933928,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:04:44.550891+00:00,2022-04-13 02:28:56.358883+00:00
.NET SDK,microsoft-dotnet-sdk,Microsoft/microsoft-dotnet-sdk,image,Microsoft,Official images for the .NET SDK,publisher,9716881,0,0,nan,not_certified,['Programming Languages'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2021-09-14 17:56:32.276567+00:00,2022-04-13 02:28:55.470171+00:00
Azure Industrial IoT diagnostic module,microsoft-iotedge-diagnostic,Microsoft/microsoft-iotedge-diagnostic,image,Microsoft,This image contains the Azure Industrial IoT Diagnostic Edge module.,publisher,9616922,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:04:41.744739+00:00,2021-07-14 16:07:14.070292+00:00
Azure Functions Java,microsoft-azure-functions-java,Microsoft/microsoft-azure-functions-java,image,Microsoft,Azure Functions image for java,publisher,8792749,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2020-06-04 20:37:19.679308+00:00,2022-04-13 02:28:52.936872+00:00
Azure Industrial OPC Registry microservice,microsoft-iot-opc-registry-service,Microsoft/microsoft-iot-opc-registry-service,image,Microsoft,This image contains the Azure Industrial IoT OPC Registry microservice.,publisher,8394690,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2019-01-04 18:25:51.323421+00:00,2022-04-13 02:28:56.536690+00:00
K8s Aad Pod Identity Mic,microsoft-k8s-aad-pod-identity-mic,Microsoft/microsoft-k8s-aad-pod-identity-mic,image,Microsoft,Assign AAD Identities to kubernetes applications - Managed Identity Controller(MIC) image.,publisher,8247622,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2018-12-05 00:01:31.586144+00:00,2022-04-13 02:28:57.452949+00:00
IoT OPC UA test server,microsoft-iot-opc-ua-test-server,Microsoft/microsoft-iot-opc-ua-test-server,image,Microsoft,This image contains the Azure Industrial IoT OPC UA test server.,publisher,8158159,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:05:09.158360+00:00,2022-04-13 02:28:56.663545+00:00
Azure Industrial OPC Publisher microservice,microsoft-iot-opc-publisher-service,Microsoft/microsoft-iot-opc-publisher-service,image,Microsoft,This image contains the Azure Industrial IoT OPC Publisher microservice.,publisher,8138931,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:04:50.984331+00:00,2022-04-13 02:28:56.414092+00:00
Azure Industrial OPC Gateway microservice,microsoft-iot-opc-gateway-service,Microsoft/microsoft-iot-opc-gateway-service,image,Microsoft,This image contains the Azure Industrial IoT OPC Gateway microservice.,publisher,8073179,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2019-01-04 19:52:59.102065+00:00,2022-04-13 02:28:56.562012+00:00
Azure Industrial OPC Historic Access microservice,microsoft-iot-opc-history-service,Microsoft/microsoft-iot-opc-history-service,image,Microsoft,This image contains the Azure Industrial IoT OPC Historic Access microservice.,publisher,8026676,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2019-03-29 11:08:52.360840+00:00,2022-04-13 02:28:56.478636+00:00
Azure Industrial OPC Vault microservice,microsoft-iot-opc-vault-service,Microsoft/microsoft-iot-opc-vault-service,image,Microsoft,This image contains the Azure Industrial IoT OPC Vault microservice.,publisher,8017921,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:04:51.711833+00:00,2021-07-14 16:07:14.235011+00:00
Azure Industrial IoT Hub Edge Events processor,microsoft-iot-industrial-iot-events-processor,Microsoft/microsoft-iot-industrial-iot-events-processor,image,Microsoft,This image contains the Azure Industrial IoT Edge Events processor.,publisher,7995750,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:05:08.014866+00:00,2022-04-13 02:28:56.636539+00:00
Azure Industrial IoT all in one service,microsoft-iot-industrial-iot-services-all,Microsoft/microsoft-iot-industrial-iot-services-all,image,Microsoft,This image contains the Azure Industrial all in one service.,publisher,7975568,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:04:45.854771+00:00,2022-04-13 02:28:56.388088+00:00
Azure Industrial OPC Twin microservice,microsoft-iot-opc-twin-service,Microsoft/microsoft-iot-opc-twin-service,image,Microsoft,This image contains the Azure Industrial IoT OPC Twin microservice.,publisher,7966626,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2018-12-06 17:41:26.950794+00:00,2022-04-13 02:28:56.448826+00:00
Azure Industrial IoT Hub Edge Telemetry processor,microsoft-iot-industrial-iot-telemetry-processor,Microsoft/microsoft-iot-industrial-iot-telemetry-processor,image,Microsoft,This image contains the Azure Industrial IoT Edge Telemetry processor.,publisher,7906615,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:05:03.765307+00:00,2022-04-13 02:28:56.587292+00:00
Azure Industrial IoT Services command line interface,microsoft-iot-industrial-cli,Microsoft/microsoft-iot-industrial-cli,image,Microsoft,This image contains the Azure Industrial IoT Services command line interface.,publisher,7869303,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:04:43.973895+00:00,2022-04-13 02:28:56.331366+00:00
.NET Samples,microsoft-dotnet-samples,Microsoft/microsoft-dotnet-samples,image,Microsoft,Sample images illustrating how to containerize .NET and ASP.NET Core applications,publisher,7736804,0,0,nan,not_certified,['Application Frameworks'],['Linux'],['x86-64'],https://raw.githubusercontent.com/dotnet/brand/master/logo/dotnet-logo.png,2020-11-10 01:32:42.193948+00:00,2022-04-13 02:28:55.442493+00:00
Azure Industrial OPC Onboarding microservice,microsoft-iot-opc-onboarding-service,Microsoft/microsoft-iot-opc-onboarding-service,image,Microsoft,This image contains the Azure Industrial IoT OPC Onboarding microservice.,publisher,7541672,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2019-01-04 19:52:52.647861+00:00,2022-04-13 02:28:56.507360+00:00
Azure Industrial IoT Hub Telemetry CDM publisher,microsoft-iot-industrial-iot-telemetry-cdm-processor,Microsoft/microsoft-iot-industrial-iot-telemetry-cdm-processor,image,Microsoft,This image contains the Azure Industrial IoT Telemetry CDM publisher.,publisher,7481972,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://upload.wikimedia.org/wikipedia/commons/4/44/Microsoft_logo.svg,2020-04-15 17:05:06.090633+00:00,2022-04-13 02:28:56.611260+00:00
Azure Pipelines Agent,microsoft-azure-pipelines-vsts-agent,Microsoft/microsoft-azure-pipelines-vsts-agent,image,Microsoft,Containerized agent for Azure Pipelines,publisher,7153245,0,0,nan,not_certified,['Base Images'],['Linux'],['x86-64'],https://mcrflowprodcentralus.blob.core.windows.net/defaultlogo/Microsoft_logo.svg?sp=r&st=2019-01-19T00:10:26Z&se=2033-11-04T07:10:26Z&spr=https&sv=2018-03-28&sig=dRn%2BJsqcKwsVdAMcdkzPAbydqSC%2BzBS9BwJUI9AflR4%3D&sr=b,2019-01-17 21:31:04.328776+00:00,2022-04-13 02:28:53.643362+00:00
